feature_id,stratum
feat_sae_20260828_080834_39cc_15343,curated_E_homog
feat_sae_20260828_080834_39cc_18533,curated_E_hetero
feat_sae_20260828_080834_39cc_22284,curated_E_hetero
feat_sae_20260828_080834_39cc_03183,curated_D_hetero
feat_sae_20260828_080834_39cc_03660,curated_D_hetero
feat_sae_20260828_080834_39cc_25973,curated_E_hetero
feat_sae_20260828_080834_39cc_27506,curated_E_homog
feat_sae_20260828_080834_39cc_29847,curated_E_hetero
feat_sae_20260828_080834_39cc_15743,curated_E_homog
feat_sae_20260828_080834_39cc_19721,curated_D_hetero
feat_sae_20260828_080834_39cc_25331,curated_E_hetero
feat_sae_20260828_080834_39cc_07454,curated_E_homog
feat_sae_20260828_080834_39cc_18846,curated_E_hetero
feat_sae_20260828_080834_39cc_23638,curated_D_hetero
feat_sae_20260828_080834_39cc_01232,curated_E_hetero
feat_sae_20260828_080834_39cc_11185,curated_E_homog
feat_sae_20260828_080834_39cc_03671,curated_E_hetero
feat_sae_20260828_080834_39cc_12385,curated_D_mid
feat_sae_20260828_080834_39cc_13519,curated_E_hetero
feat_sae_20260828_080834_39cc_26749,curated_E_hetero
feat_sae_20260828_080834_39cc_25364,curated_E_hetero
feat_sae_20260828_080834_39cc_03103,curated_E_hetero
feat_sae_20260828_080834_39cc_25552,curated_E_hetero
feat_sae_20260828_080834_39cc_15293,curated_E_homog
feat_sae_20260828_080834_39cc_02701,curated_E_hetero
feat_sae_20260828_080834_39cc_29794,curated_E_hetero
feat_sae_20260828_080834_39cc_11378,curated_E_hetero
feat_sae_20260828_080834_39cc_04971,curated_E_mid
feat_sae_20260828_080834_39cc_23460,curated_E_hetero
feat_sae_20260828_080834_39cc_00390,curated_E_hetero
feat_sae_20260828_080834_39cc_25448,curated_E_hetero
feat_sae_20260828_080834_39cc_17206,curated_E_hetero
feat_sae_20260828_080834_39cc_19517,curated_E_homog
feat_sae_20260828_080834_39cc_16802,curated_E_hetero
feat_sae_20260828_080834_39cc_09144,curated_E_mid
